Date,Temp,Hum,Batt
01/26/2019 14:10:00,    12.20 ,    74.00 ,   100.00 
01/26/2019 14:20:00,    12.20 ,    74.00 ,   100.00 
01/26/2019 14:30:00,    12.20 ,    74.00 ,   100.00 
01/26/2019 14:40:00,    12.20 ,    74.00 ,   100.00 
01/26/2019 14:50:00,    12.20 ,    74.00 ,   100.00 
01/26/2019 15:00:00,    12.20 ,    74.00 ,   100.00 
01/26/2019 15:10:00,    12.20 ,    74.00 ,   100.00 
01/26/2019 15:20:00,    12.20 ,    74.00 ,   100.00 
01/26/2019 15:30:00,    12.20 ,    74.00 ,   100.00 
01/26/2019 15:40:00,    12.20 ,    74.00 ,   100.00 
01/26/2019 15:50:00,    12.20 ,    74.00 ,   100.00 
01/26/2019 16:00:00,    12.20 ,    74.00 ,   100.00 
01/26/2019 16:10:00,    12.20 ,    74.00 ,   100.00 
01/26/2019 16:20:00,    12.20 ,    74.56 ,   100.00 
01/26/2019 16:30:00,    12.20 ,    74.55 ,   100.00 
01/26/2019 16:40:00,    12.20 ,    74.90 ,   100.00 
01/26/2019 16:50:00,    12.22 ,    75.00 ,   100.00 
01/26/2019 17:00:00,    12.29 ,    75.00 ,   100.00 
01/26/2019 17:10:00,    12.20 ,    75.00 ,   100.00 
01/26/2019 17:20:00,    12.25 ,    75.00 ,   100.00 
01/26/2019 17:30:00,    12.30 ,    75.00 ,   100.00 
01/26/2019 17:40:00,    12.30 ,    75.00 ,   100.00 
01/26/2019 17:50:00,    12.30 ,    75.00 ,   100.00 
01/26/2019 18:00:00,    12.30 ,    75.00 ,   100.00 
01/26/2019 18:10:00,    12.30 ,    75.00 ,   100.00 
01/26/2019 18:20:00,    12.30 ,    75.00 ,   100.00 
01/26/2019 18:30:00,    12.28 ,    75.80 ,   100.00 
01/26/2019 18:40:00,    12.27 ,    76.00 ,   100.00 
01/26/2019 18:50:00,    12.30 ,    76.00 ,   100.00 
01/26/2019 19:00:00,    12.30 ,    76.00 ,   100.00 
01/26/2019 19:10:00,    12.30 ,    76.00 ,   100.00 
01/26/2019 19:20:00,    12.30 ,    76.00 ,   100.00 
01/26/2019 19:30:00,    12.30 ,    76.00 ,   100.00 
01/26/2019 19:40:00,    12.30 ,    76.00 ,   100.00 
01/26/2019 19:50:00,    12.30 ,    76.00 ,   100.00 
01/26/2019 20:00:00,    12.30 ,    76.00 ,   100.00 
01/26/2019 20:10:00,    12.33 ,    75.75 ,   100.00 
01/26/2019 20:20:00,    12.41 ,    73.45 ,   100.00 
01/26/2019 20:30:00,    12.50 ,    71.41 ,   100.00 
01/26/2019 20:40:00,    12.50 ,    71.00 ,   100.00 
01/26/2019 20:50:00,    12.46 ,    71.00 ,   100.00 
01/26/2019 21:00:00,    12.40 ,    71.81 ,   100.00 
01/26/2019 21:10:00,    12.40 ,    72.15 ,   100.00 
01/26/2019 21:20:00,    12.34 ,    73.00 ,   100.00 
01/26/2019 21:30:00,    12.40 ,    73.00 ,   100.00 
01/26/2019 21:40:00,    12.40 ,    73.93 ,   100.00 
01/26/2019 21:50:00,    12.40 ,    74.00 ,   100.00 
01/26/2019 22:00:00,    12.38 ,    74.00 ,   100.00 
01/26/2019 22:10:00,    12.36 ,    73.95 ,   100.00 
01/26/2019 22:20:00,    12.55 ,    72.51 ,   100.00 
01/26/2019 22:30:00,    12.54 ,    70.69 ,   100.00 
01/26/2019 22:40:00,    12.60 ,    70.00 ,   100.00 
01/26/2019 22:50:00,    12.53 ,    70.16 ,   100.00 
01/26/2019 23:00:00,    12.44 ,    71.05 ,   100.00 
01/26/2019 23:10:00,    12.40 ,    72.00 ,   100.00 
01/26/2019 23:20:00,    12.40 ,    72.00 ,   100.00 
01/26/2019 23:30:00,    12.40 ,    72.83 ,   100.00 
01/26/2019 23:40:00,    12.40 ,    73.00 ,   100.00 
01/26/2019 23:50:00,    12.40 ,    73.53 ,   100.00 
01/27/2019 00:00:00,    12.40 ,    73.53 ,   100.00 
01/27/2019 00:10:00,    12.40 ,    74.00 ,   100.00 
01/27/2019 00:20:00,    12.40 ,    74.00 ,   100.00 
01/27/2019 00:30:00,    12.40 ,    74.00 ,   100.00 
01/27/2019 00:40:00,    12.34 ,    74.00 ,   100.00 
01/27/2019 00:50:00,    12.40 ,    74.00 ,   100.00 
01/27/2019 01:00:00,    12.40 ,    74.95 ,   100.00 
01/27/2019 01:10:00,    12.40 ,    75.00 ,   100.00 
01/27/2019 01:20:00,    12.40 ,    75.00 ,   100.00 
01/27/2019 01:30:00,    12.40 ,    75.00 ,   100.00 
01/27/2019 01:40:00,    12.40 ,    75.00 ,   100.00 
01/27/2019 01:50:00,    12.40 ,    75.00 ,   100.00 
01/27/2019 02:00:00,    12.37 ,    75.00 ,   100.00 
01/27/2019 02:10:00,    12.37 ,    75.00 ,   100.00 
01/27/2019 02:20:00,    12.40 ,    75.00 ,   100.00 
01/27/2019 02:30:00,    12.40 ,    75.00 ,   100.00 
01/27/2019 02:40:00,    12.40 ,    75.00 ,   100.00 
01/27/2019 02:50:00,    12.40 ,    75.00 ,   100.00 
01/27/2019 03:00:00,    12.40 ,    75.00 ,   100.00 
01/27/2019 03:10:00,    12.40 ,    75.00 ,   100.00 
01/27/2019 03:20:00,    12.40 ,    75.00 ,   100.00 
01/27/2019 03:30:00,    12.40 ,    75.00 ,   100.00 
01/27/2019 03:40:00,    12.37 ,    75.00 ,   100.00 
01/27/2019 03:50:00,    12.37 ,    75.00 ,   100.00 
01/27/2019 04:00:00,    12.40 ,    75.00 ,   100.00 
01/27/2019 04:10:00,    12.35 ,    75.00 ,   100.00 
01/27/2019 04:20:00,    12.34 ,    75.00 ,   100.00 
01/27/2019 04:30:00,    12.40 ,    75.00 ,   100.00 
01/27/2019 04:40:00,    12.40 ,    75.00 ,   100.00 
01/27/2019 04:50:00,    12.40 ,    75.00 ,   100.00 
01/27/2019 05:00:00,    12.40 ,    75.00 ,   100.00 
01/27/2019 05:10:00,    12.40 ,    75.00 ,   100.00 
01/27/2019 05:20:00,    12.37 ,    75.00 ,   100.00 
